"tree","range","burn_status","burn_range","fa"
"F1","santa.catalina","burned","burned santa.catalina",16.3577
"F10","santa.catalina","burned","burned santa.catalina",19.9489
"F11","pinaleno","burned","burned pinaleno",838860795.7083
"F12","pinaleno","burned","burned pinaleno",838860799.9286
"F13","pinaleno","burned","burned pinaleno",64.1137
"F14","pinaleno","burned","burned pinaleno",838860795.7083
"F15","pinaleno","burned","burned pinaleno",28.2327
"F16","pinaleno","burned","burned pinaleno",26.7817
"F17","pinaleno","burned","burned pinaleno",19.9489
"F18","pinaleno","burned","burned pinaleno",28.2327
"F19","pinaleno","burned","burned pinaleno",7.8669
"F2","santa.catalina","burned","burned santa.catalina",10.4892
"F20","pinaleno","burned","burned pinaleno",10.3631
"F3","santa.catalina","burned","burned santa.catalina",15.6487
"F4","santa.catalina","burned","burned santa.catalina",1677721580
"F5","santa.catalina","burned","burned santa.catalina",28.2327
"F6","santa.catalina","burned","burned santa.catalina",6.3331
"F7","santa.catalina","burned","burned santa.catalina",7.0281
"F8","santa.catalina","burned","burned santa.catalina",19.9489
"F9","santa.catalina","burned","burned santa.catalina",14.1164
"LB019","santa.catalina","unburned","unburned santa.catalina",3.8784
"LB020","santa.catalina","unburned","unburned santa.catalina",7.8669
"LB021","santa.catalina","unburned","unburned santa.catalina",419430397.8542
"LB023","santa.catalina","unburned","unburned santa.catalina",18.5683
"LB024","santa.catalina","unburned","unburned santa.catalina",5.7051
"LB055","santa.catalina","unburned","unburned santa.catalina",18.5683
"LB056","santa.catalina","unburned","unburned santa.catalina",19.9489
"LB057","santa.catalina","unburned","unburned santa.catalina",10.9051
"LB058","santa.catalina","unburned","unburned santa.catalina",12.9437
"LB059","santa.catalina","unburned","unburned santa.catalina",34.6145
"LB060","santa.catalina","unburned","unburned santa.catalina",5.7051
"NF11","pinaleno","unburned","unburned pinaleno",18.5683
"NF12","pinaleno","unburned","unburned pinaleno",14.1164
"NF13","pinaleno","unburned","unburned pinaleno",10.9051
"NF14","pinaleno","unburned","unburned pinaleno",18.5683
"NF15","pinaleno","unburned","unburned pinaleno",8.2856
"NF16","pinaleno","unburned","unburned pinaleno",5.4526
"NF17","pinaleno","unburned","unburned pinaleno",10.3631
"NF18","pinaleno","unburned","unburned pinaleno",7.8669
"NF19","pinaleno","unburned","unburned pinaleno",2941562359.8741
"NF20","pinaleno","unburned","unburned pinaleno",18.5683
