"tree","site","range","fire.history","forest.type","spec.richness","fishers.alpha","shannon"
"F1","sc3","santa.catalina","burned","pine oak",9,16.357666283706,2.09472904752765
"F10","sc4","santa.catalina","burned","pine oak",6,19.9488818914183,1.74786809746676
"F15","p3","pinaleno","burned","pine df",10,28.2326659025554,2.25385758960135
"F16","p4","pinaleno","burned","pine df",7,26.7816539009527,1.90615474653985
"F17","p4","pinaleno","burned","pine df",6,19.9488818914183,1.74786809746676
"F18","p4","pinaleno","burned","pine df",10,28.2326659025554,2.21025357762097
"F19","p4","pinaleno","burned","pine df",6,7.86690702227445,1.73512645696292
"F2","sc3","santa.catalina","burned","pine oak",8,10.4892096543901,1.90728399932138
"F20","p4","pinaleno","burned","pine df",7,10.3631440118459,1.88669678465808
"F3","sc3","santa.catalina","burned","pine oak",10,15.6487268476961,2.20559835902639
"F5","sc3","santa.catalina","burned","pine oak",10,28.2326659025554,2.25385758960135
"F6","sc4","santa.catalina","burned","pine oak",6,6.33308941886532,1.69574253416963
"F7","sc4","santa.catalina","burned","pine oak",7,7.02812557237099,1.90728399932138
"F8","sc4","santa.catalina","burned","pine oak",6,19.9488818914183,1.74786809746676
"F9","sc4","santa.catalina","burned","pine oak",5,14.1163762322216,1.56071040904141
"LB019","sc1","santa.catalina","unburned","pine oak",4,3.87837451962527,1.27703425946614
"LB020","sc1","santa.catalina","unburned","pine oak",6,7.86690702227445,1.67698777432242
"LB023","sc1","santa.catalina","unburned","pine oak",8,18.5682683277798,2.02532622077007
"LB024","sc1","santa.catalina","unburned","pine oak",5,5.70511385211326,1.38629436111989
"LB055","sc2","santa.catalina","unburned","pine oak",8,18.5682683277798,2.02532622077007
"LB056","sc2","santa.catalina","unburned","pine oak",6,19.9488818914183,1.74786809746676
"LB057","sc2","santa.catalina","unburned","pine oak",6,10.9051108454368,1.73286795139986
"LB058","sc2","santa.catalina","unburned","pine oak",9,12.9436627096384,2.13839724634772
"LB059","sc2","santa.catalina","unburned","pine oak",8,34.6145321236411,2.04319187054512
"LB060","sc2","santa.catalina","unburned","pine oak",5,5.70511385211326,1.55958115625988
"NF11","p1","pinaleno","unburned","pine",8,18.5682683277798,2.02532622077007
"NF12","p1","pinaleno","unburned","pine",5,14.1163762322216,1.56071040904141
"NF13","p1","pinaleno","unburned","pine",6,10.9051108454368,1.66746193342929
"NF14","p1","pinaleno","unburned","pine",8,18.5682683277798,2.02532622077007
"NF15","p1","pinaleno","unburned","pine",7,8.28558895041433,1.76776147228933
"NF16","p2","pinaleno","unburned","pine oak",3,5.4525555311395,1.03972077083992
"NF17","p2","pinaleno","unburned","pine oak",7,10.3631440118459,1.88669678465808
"NF18","p2","pinaleno","unburned","pine oak",6,7.86690702227445,1.67698777432242
"NF20","p2","pinaleno","unburned","pine oak",8,18.5682683277798,2.02532622077007
